Promise ID,Exact promise or faithful paraphrase,Surface,Intended user,Required behavior,Enforcement source,Required evidence,Current evidence,Verdict,Finding IDs
P11,"An account adds encrypted saved history and cross-device continuity with explicit consent","welcome; account; history; privacy","signed-in consenting user","Consent precedes encrypted persistence; migration and owner-scoped reads work","profile route; crypto; check persistence; history APIs","safe encrypted row plus cross-device and migration browser proof","Static path exists; persistence/migration and actual cross-device behavior remain only partially proved",PARTIAL,
P12,"Premium provides unlimited checks","landing; wall; account; reports","Premium payer","Premium bypasses every browser and server free-use meter","capabilities; entitlement; check route; FoodCheckForm","signed-in trial/monthly/annual checks 1-11 in browser","Server grants unlimited but the client meters every successful user and redirects an exhausted Premium device before the server",FAILED,AUD-009
P13,"Premium has full history on every device; free accounts see seven days","wall; meals","free and Premium account users","Server entitlement controls retention and owner-scoped pagination/search","history handlers; entitlement","cross-device free/Premium large-history journeys","Static retention enforcement matches; cross-device/runtime proof pending",PARTIAL,
P14,"Monthly and annual subscription prices come from server authority and match checkout","landing; wall; checkout","subscriber","One configured authority drives displayed amount cadence and provider line item","paywall API; pricing resolver; Stripe checkout","test-mode provider session plus rendered web/Play proof","Web path aligns statically; Play button price and visible web plan-card price can diverge and provider path remains unexercised",PARTIAL,
P15,"Every trial starter gets seven free days with either plan before first charge","trial wall; checkout","trial starter","Eligibility is known before acceptance and Stripe payload matches disclosure","TrialWall; createTrialStartHandler","new and prior-subscriber monthly/annual checkout tests","Wall promises seven days universally; backend intentionally omits the trial for any account with a historical subscription row",FAILED,AUD-011
P16,"The exact charge date and amount are disclosed and emailed before charge","trial wall; Terms; precharge email","trial user","Calendar date and amount are shown before authorization and delivered before billing","trial UI; precharge cron/email","rendered checkout disclosure plus provider/email receipt","UI gives a relative Day 7 timeline; delivery/provider execution is not currently verified",UNVERIFIED,
P17,"Cancellation is directly available from Account with access through period end and no retention screen","account; email","Stripe subscriber","Authenticated cancel marks cancel_at_period_end and UI preserves earned access","cancel route; account; billing emails","test-mode provider lifecycle and browser proof","Source supports direct cancellation; current provider runtime not exercised in this audit",PARTIAL,
P18,"First-charge duplicate unauthorized or material failure refunds are honored","Terms; account support","payer","Support intake reaches an operational provider refund workflow","support cases; playbook","provider refund execution and support SLA evidence","Policy and intake exist; actual refund operations are unverified",UNVERIFIED,
P19,"Pantry Review costs $49 once and never renews","landing; Pantry; checkout","Pantry buyer","Displayed amount and one-time mode derive from the exact configured Stripe Price","Pantry page; pantry checkout handler","deployed binding plus test-mode session line-item proof","Mode is one-time and live catalog contains a $49 Revora Price; public $49 is hard-coded separately and deployed binding is unverified",PARTIAL,AUD-010
P20,"Pantry covers claim upload confirmation processing report email print support and refund","Pantry lifecycle","Pantry buyer","Auth/ownership state machine private storage processing sweep and delivery all complete","Pantry routes; workers; private Blob; email","full sandbox journey plus failure/recovery corpus","Substantial source path exists; Stripe email Blob model capacity and delivery have not been composed end to end here",PARTIAL,
P21,"Pantry photos are private and deleted after workflow use","Privacy; Pantry","Pantry buyer","Private Blob authorization and deletion on delivery refund cancel erasure and age ceiling","Blob wrapper; Pantry sweep; deletion routes","sandbox provider-state inspection through each terminal state","Source has deletion paths; provider-state proof pending",PARTIAL,
P22,"Meal Memory is Premium dual-flag gated user-owned editable exportable deletable and never affects checks","memory surfaces","authorized Premium user","Client/server flags capability entitlement encrypted owner APIs and no engine dependency","memory flags; APIs; crypto; check imports","off/asymmetric/on browser API and engine non-interference proof","Source paths exist; production flags are currently absent/off; enabled path remains unverified and config contract is incomplete",PARTIAL,AUD-002
P23,"Learning Journey is Premium dual-flag gated pausable graduatable maintenance-capable and billing-independent","journey surfaces","authorized Premium user","Dual flags capability state machine compare-and-set weekly cache/invalidation and nudge rules","journey flags; routes; coach/nudge modules","off/asymmetric/on concurrency timezone browser and API proof","Source paths exist and production flags are absent/off; enabled composition remains unverified and config contract is incomplete",PARTIAL,AUD-002
P24,"Progress is behavior-only never a lab prediction; reminders are optional and user-controlled","journey; account; how-it-works","Premium user","Derived activity only; no public BAI score; entitlement and opt-in/cadence/quiet hours enforced","coach modules; journey; nudge routes","rendered journey and scheduled delivery boundary tests","Journey deliberately presents a non-scored recap but landing promises a weekly progress score; delivery and timezone behavior pending",FAILED,AUD-007
P25,"Explicit consent precedes stored health data and sensitive values are encrypted at rest","welcome; privacy; account; Pantry","account and Pantry user","Consent gates writes; AES-256-GCM versioned ciphertext; safe failures","profile/intake routes; crypto; schema","safe real-row ciphertext/decrypt/key-error proof","Static writes are consent-gated and encrypted; real restricted-runtime row proof is pending",PARTIAL,
P26,"Download your data means everything held as one file","account","account holder","One portable response covers every user-owned data category or precisely documents exclusions","account export","schema-to-export denominator with seeded rows","Handler omits checks/memories and points to two other downloads while copy still says one file; other identity/billing/session categories are absent",FAILED,AUD-012
P27,"Account deletion permanently removes everything immediately and completely","public deletion page; account","account holder","Provider cancellation Blob deletion user cascade and retained-record disclosure agree with copy","account delete route; privacy","Play/Stripe active and success paths plus post-delete inventory","Active Play blocks deletion and a hashed deletion log/provider records remain despite absolute public copy",FAILED,AUD-013
P28,"Analytics and error reporting never receive meal text photos exact A1C or email; browser opt-out works","Privacy; account","all users","Closed event union scrubbing and kill switch operate in deployed payloads","analytics types; Sentry scrubbers; CSP","browser network/provider receipt inspection","Strong static minimization; deployed third-party payloads and dashboard receipts not yet verified",PARTIAL,
P29,"Revora sells no personal data and carries no ads","Privacy; store draft","all users","No advertising sale/share flow and provider uses stay within disclosure","dependency and data-flow inventory","deployed script/provider inspection","No contradictory first-party source found; deployed third-party behavior remains unverified",UNVERIFIED,
P30,"Pricing product value and long-term retention are hypotheses until measured","product marketing; research protocols","prospective payer and owner","No traction or retention claim without mature real cohorts","marketing text; preregistration protocols","privacy-safe paid cohort denominator and behavior/cancellation evidence","Live Stripe has zero subscriptions across every Revora recurring price; all three Revora Checkout Sessions are expired/unpaid; the canonical database has zero checks/subscriptions/retention artifacts. D30/D90/D180/D365 are all unmeasured and both protocols remain unexecuted/incomplete",PARTIAL,AUD-028
