ID,Severity,Surface,Evidence bucket,Reproduction,Expected,Actual,Root cause,User/business risk,Fix,Regression test,Retest,Status,Owner/blocker,Validation verdict,Validation evidence,Re-ranked severity,Root cause group
AUD-011,P1 MAJOR,Seven-day trial eligibility,current committed local source,Start /api/trial/start for an account that has any prior subscriptions row and compare the Stripe session payload with components/trial-wall.tsx,The UI states trial eligibility accurately before a user authorizes checkout,The wall unconditionally says 7 days free with either plan and the chosen price after 7 free days; createTrialStartHandler intentionally omits trial_period_days for every account with any historical subscription row,Eligibility enforcement was added server-side without an eligibility result or qualified copy on the public wall,Returning customers can authorize immediate billing while the UI says nothing is charged today and the first charge is Day 7,Return authoritative eligibility before rendering or prevent ineligible trial entry and show the immediate charge date/amount before acceptance,Prior-subscriber monthly and annual test asserting UI disclosure and Stripe payload agree; new-user control retains seven days,Static contradiction confirmed; no real checkout created and no fix/retest authorized,OPEN,Engineering billing and product,CONFIRMED,"components/trial-wall.tsx:162,249,255 unconditionally promise '7 days free... Nothing is charged today'; app/api/billing/handlers.ts:1574 `...(priorSubscription ? {} : { trial_period_days: 7 })` silently removes the trial for any account with a historical subscription row.",P1 MAJOR,G6 client-vs-server billing/entitlement truth
AUD-012,P1 MAJOR,Account data-export promise,current committed local source,Click Download your data from app/(app)/account/page.tsx and inspect GET /api/account/export,A control described as everything we hold as one file downloads one complete user-scoped portable artifact,The account export contains profile weekly reflections Pantry orders and support cases but excludes checks and meal memories and only returns endpoint strings for two more downloads; it also omits several identity session and billing datasets. The UI simultaneously says one file and says checks/saved meals have separate downloads,The route was expanded from health-data gaps but kept multiple exports while the account copy overstates aggregation and scope,A user exercising data rights can reasonably believe the single file is complete and miss material personal history or account data,Either produce one complete export with a documented necessary exclusion schedule or narrow the control's claim and provide an explicit multi-file checklist,Seed every user-owned table and assert one export contains or explicitly accounts for every row without cross-user leakage,Static handler/UI contradiction confirmed; route tests do not establish a complete schema-to-export denominator and no fix is authorized,OPEN,Engineering and privacy operations,CONFIRMED,"app/api/account/export/route.ts:40-62 selects only profile/reflections/pantry orders/support cases; checks and meal memories are excluded (route comment :16-17 acknowledges) and identity/session/subscription/billing datasets are absent; app/(app)/account/page.tsx:703 still labels the control 'everything we hold, as one file' with only a parenthetical pointing at two other downloads.",P1 MAJOR,G7 data-rights promises vs handlers
AUD-013,P1 MAJOR,Account deletion promise,current committed local source,Compare app/(app)/account/delete/page.tsx with POST /api/account/delete and privacy disclosures; exercise handler with an active Play subscription fixture,Public deletion copy states exactly what can be deleted immediately and what must remain or be canceled externally,The public page says everything including subscription records is removed with no retention window and deletion is immediate and complete. The handler returns 409 until an active Play subscription is canceled and writes a hashed deletion-log row after deletion; payment providers may retain records outside Revora,The public store-facing deletion promise is broader than the fail-closed provider workflow and retained-record disclosure,A user can be surprised that deletion is blocked or that bounded records remain after an absolute erasure promise,Qualify the public copy with provider cancellation and retained-record boundaries and link an actionable Play path while keeping fail-closed billing behavior,Play-active deletion 409 UI journey plus successful deletion inventory that reconciles all local/provider-retained categories,Source and handler contradiction confirmed; no provider mutation or post-fix retest authorized,OPEN,Product privacy and billing operations,CONFIRMED,app/(app)/account/delete/page.tsx:20-32 promises removal of 'everything ... subscription records ... no retention window ... immediate and complete'; app/api/account/delete/route.ts:95-101 returns 409 while a Play subscription is active and :145 inserts a retained deletion_log row; provider-side records persist outside Revora.,P1 MAJOR,G7 data-rights promises vs handlers
AUD-014,P1 MAJOR,One-clarification contract,current committed local source,Submit a deterministically ambiguous input then a follow-up that reaches a model returning kind=clarify,After one clarification Revora returns a result safe refusal or conservative floor rather than another question,The clarified flag suppresses only classifyInputBeforeModel's deterministic question. mapModelOutput accepts and returns a model-authored clarify without checking clarified so a second and subsequent model question can render; generic model questions are not recorded in pendingClarifyRef,The one-question cap is enforced before the model but not at the model-output boundary,Users can enter the loop the product explicitly promises to avoid and ambiguity metrics omit the repeated model path,When clarified is true reject or conservatively resolve model clarify output and preserve safe clinical/not-food precedence,Service test with clarified=true plus model kind=clarify and browser follow-up loop regression,Static call-path contradiction confirmed; behavior remains to be executed in the deterministic suite and no fix is authorized,OPEN,Engineering and model contract,CONFIRMED,"lib/revora/service.ts:88-102 applies `clarified` only to classifyInputBeforeModel; mapModelOutput case 'clarify' (:159-177) returns a model-authored question unconditionally, so a second clarification can render after the user already answered one.",P1 MAJOR,G2 deterministic engine coverage gaps
AUD-015,P0 BLOCKER,Clinical routing and stated no-prescribing boundary,current committed local source,Submit food text containing any broad possible-hypoglycemia trigger such as 'shaky' or 'dizzy' and inspect the deterministic clinical response loaded from docs/safety/copy-ledger.md,A narrow educational meal checker routes possible medical symptoms out of scope without diagnosing treating prescribing or issuing unsupported exact quantitative instructions,The active contract labels bare shaky sweaty dizzy and heart racing as possible hypoglycemia and returns a directive to take about 15 grams of specified fast-acting carbohydrate then recheck in 15 minutes. This is an explicit food/dose/timing first-aid instruction and a documented exception to the repository's qualitative informational-only boundary and this audit's no-prescribing requirement,An owner exception was embedded in the active copy ledger and loaded directly at runtime while claims-boundary.md still declares informational-only qualitative behavior,A nonspecific symptom can be misclassified as low blood sugar and receive immediate quantitative self-treatment instructions from an app that lacks glucose readings medication history diagnosis or context,Keep the deterministic no-model safety route but replace treatment instructions with a bounded urgent human-care route consistent with the stated product scope; any future emergency instruction requires a separately governed product scope,Contract test that every clinical route contains no food dose grams measurement timing or treatment instruction plus broad-trigger false-positive corpus,Source-to-runtime path confirmed; current validators are expected to bless the owner exception and therefore cannot close this finding; no fix authorized,OPEN,Product safety owner,CONFIRMED,"LIVE PRODUCTION reproduction (V017): anonymous POST https://revora.plus/api/check with food 'feeling shaky and clammy after lunch' returned HTTP 200 kind=clinical route=possible_hypoglycemia containing 'about 15 grams of fast-acting carbs ... recheck in 15 minutes'. Source: docs/safety/copy-ledger.md:40 (documented owner exception), lib/revora/clinical-risk.ts:95-118 (bare shaky/dizzy/sweaty/clammy triggers), lib/revora/safety-contract.ts:54 loads the ledger copy directly. Contradicts docs/safety/claims-boundary.md:14-16 (informational-only, qualitative) and rows result-qualitative-impact/result-adjustment (no numbers, no treatment plans).",P0 BLOCKER,G1 safety-scope contradiction and claims-gate narrowness
AUD-016,P1 MAJOR,Pantry personal-suitability claims,current committed local source,Open a delivered report and inspect app/report/[id]/page.tsx headings and compare with the general-pattern boundary,Pantry labels describe general item patterns and never imply that an item is personally safe suitable or effective for the user's A1C range,The report says items 'fit your range as they are — no changes needed' and that tweaks make items 'work better for you',The separate Pantry presentation was not reconciled to the meal-check disclaimer's prohibition on personal suitability,A health-adjacent user may treat the report as individualized clearance based on their A1C rather than general educational guidance,Use general-pattern language consistent with the shared boundary and make uncertainty/limits visible on the report itself,Rendered Pantry report claims scan and screenshot across all three categories,Static active report copy confirmed; no fix/retest authorized,OPEN,Product and engineering,CONFIRMED,app/report/[id]/page.tsx:110 'These fit your range as they are - no changes needed' and :123 'each of these work better for you' - personal-suitability phrasing on the Pantry report.,P1 MAJOR,G1 safety-scope contradiction and claims-gate narrowness
AUD-017,P3 MINOR,Onboarding evidence claim,current committed local source,Open the guided first-check step in app/(app)/onboarding/page.tsx and trace its evidence row in docs/safety/copy-ledger.md,Quantified or popularity-like claims have current evidence or are presented as examples without implied prevalence,The onboarding says oatmeal banana and orange juice 'surprise almost everyone' while its evidence row supports only general meal planning and supplies no user or prevalence evidence,Promotional language was approved by a copy ledger focused on prohibited medical wording rather than substantiation,The phrase can manufacture social proof and diminish trust when individual expectations differ,Replace the prevalence-like assertion with neutral example framing unless real study evidence supports it,Copy contract rejecting universal popularity/prevalence claims without evidence registry linkage,Static unsupported claim confirmed; no fix/retest authorized,OPEN,Product,CONFIRMED,app/(app)/onboarding/page.tsx:442 'These three surprise almost everyone.' - prevalence claim with no evidence linkage (registry row supports only general meal planning).,P3 MINOR,G1 safety-scope contradiction and claims-gate narrowness
AUD-018,P2 MODERATE,Playwright release-gate retry truth,current committed local source,Compare playwright.config.ts retries=0 and its no-retry rationale with tests/smoke/dashboard.spec.ts:9 and tests/smoke/legal-placeholders.spec.ts:27,Every release-gate browser assertion passes on its first attempt and reported retry count is zero,Two spec files locally override the project setting with retries=2; their comments still describe next-dev cold compilation even though the harness now builds optimized next-start servers,Old anti-flake overrides survived the production-server harness migration and silently supersede the global no-retry contract,An intermittent dashboard or legal failure can appear as a green suite while violating the audit's rule that a retry remains a flake finding,Remove or explicitly report local retries after proving the optimized-server race is gone; keep retained traces on first failure,Static config contract test rejecting per-suite retry overrides and repeated cold-run evidence,Static contradiction confirmed; actual retry counts will be captured from the full suite and no fix is authorized,OPEN,Engineering and CI,CONFIRMED,playwright.config.ts:67 `retries: 0`; tests/smoke/dashboard.spec.ts:9 and tests/smoke/legal-placeholders.spec.ts:27 override with `test.describe.configure({ retries: 2 })`. Validation e2e run recorded 0 retries in practice.,P2 MODERATE,G9 ops/docs/test hygiene
AUD-019,P1 MAJOR,Learning Journey pause versus flag rollback,current committed local source,Create an opted-in Premium user with journey state paused then run the nudge cron once with both journey flags on and once after LEARNING_JOURNEY_ENABLED is removed,A user's paused state continues to suppress journey-related notifications through a kill-switch rollback or is explicitly converted to an equally quiet state,With the feature enabled selectJourneyNudge stops paused users; with the flag off runNudgeCron deliberately skips loading the journey and sends a generic nudge. tests/unit/server/nudge.test.ts:748-759 codifies one sent notification,Journey stop rules are placed entirely inside the feature-on branch while the older generic nudge system remains independently active,An operational rollback can override a user's pause choice and send an unexpected health-adjacent notification damaging consent and trust,Make pause/graduate stop state durable across feature-off operation or explicitly turn off the underlying nudge preference when pausing; rollback must fail quiet,Flag-on paused then server-off and asymmetric flag-state nudge tests asserting zero sends; resume control,Source and existing test reproduction confirmed; production journey flags are currently absent/off so this affects rollout/rollback readiness and no fix is authorized,OPEN,Engineering product and privacy,CONFIRMED,"lib/server/nudge.ts:373,457-500 places journey stop rules only inside the flag-on branch; tests/unit/server/nudge.test.ts:748-759 codifies 'flag OFF leaves behavior generic even with a paused journey' asserting sent === 1. A rollback of LEARNING_JOURNEY_ENABLED overrides a user's pause choice.",P1 MAJOR - activation-gating under the all-features-on decision,G5 retention-feature config contract
AUD-020,P2 MODERATE,Learning Journey initial-start concurrency,current committed local source,Issue two simultaneous POST /api/journey actions=start for the same eligible user with no existing journey row,One request creates the singleton and the other returns the documented conflict response without an internal error,Both requests can load exists=false; one insert wins the unique user constraint and the other falls through the generic catch to HTTP 500. The existing double-start test is sequential and never exercises the race,Compare-and-set handling exists only for updates; the initial insert does not translate a uniqueness conflict to the same 409 contract,Rapid double click multi-tab or retry produces a false server failure and noisy error capture even though the desired singleton exists,Use conflict-aware insert or translate the unique violation to an idempotent success/409 after re-read,True concurrent Promise.all start test against Postgres plus browser double-submit control,Static race and coverage gap confirmed; no mutation test or fix authorized yet,OPEN,Engineering,CONFIRMED,"app/api/journey/handlers.ts:286-301: initial insert with code comment 'the UNIQUE(user_id) makes a racing double-start a constraint error, caught as a 500 rather than two rows'; existing double-start test is sequential only.",P2 MODERATE,G5 retention-feature config contract
AUD-021,P1 MAJOR,Pantry submit and confirm atomicity/idempotency,current committed local source,Send concurrent or retried POST /api/pantry/submit requests for the same claimed order; separately inject a failure between confirm status transition deletion and replacement insert,A paid one-time workflow performs each extraction once and commits order photos/items/state atomically or recovers idempotently from every partial failure,Submit selects claimed/submitted before separately inserting unkeyed photo rows updating to extracting making provider calls inserting unkeyed draft items and updating awaiting_confirm; concurrent readers and mid-flight failures can duplicate photos calls and items or strand state. Confirm changes status to processing then separately deletes all items and reinserts; an insert failure leaves processing with no or partial confirmed items and retry is rejected as already confirmed,The workflow uses multiple autocommit statements and external work without an idempotency key transactional state claim or compensating recovery for these stages,A paying Pantry buyer can incur duplicate model work receive duplicated/missing items or become permanently stuck after a transient database failure,Claim each stage atomically with a durable idempotency key and lease; transactionally replace item sets; add resumable compensation for external work,True concurrent submit plus fault injection after every write/provider boundary and retry/recovery assertions,Source call path and missing constraints confirmed; default browser suite skips the provider-backed Pantry journey and no fix is authorized,OPEN,Engineering billing operations and support,CONFIRMED (narrowed on confirm),"Submit route (app/api/pantry/submit/route.ts:152-246): select claimed/submitted then separate photo insert, extracting update, provider call, item insert, awaiting_confirm update - no idempotency key, lease, or transaction; concurrent submits double-spend. Confirm route :73-80 DOES CAS-guard awaiting_confirm->processing (concurrent confirms safe); remaining confirm defect is the non-transactional delete+reinsert (:94-106) which can strand status=processing with zero/partial items and reject the retry.",P1 MAJOR,G10 paid-workflow atomicity/idempotency
AUD-022,P1 MAJOR,Photo-draft entitlement failure stance,current committed local source,Enable both photo flags and trial mode; resolve a signed-in non-Premium session then make getEntitlement throw before POST /api/check/photo-draft,An unreadable paid entitlement fails closed before a provider call just like the text check route,The route catches the entitlement error reports it and continues to visionFactory.draftFromPhoto. Its comment calls this fail-open metering availability while /api/check explicitly returns a 503 retry on the same trial entitlement failure,The photo endpoint independently copied an older fail-open entitlement pattern instead of sharing the text route's paid-boundary failure contract,During a database or billing read failure a signed-in free/lapsed caller bypasses the wall and incurs image-model spend; the UI can also present paid capability as available during an outage,Return a neutral retry without model spend when a signed-in trial-mode entitlement cannot be established; share one entitlement gate with text,Photo route test with getEntitlement rejection asserting 503/retry and zero vision calls plus getSession-failure policy test,Static catch-through path confirmed; current unit tests cover free 402 and model failure but not entitlement failure and no fix is authorized,OPEN,Engineering and billing,CONFIRMED,app/api/check/photo-draft/route.ts:92-118: entitlement check wrapped in try/catch whose comment says 'Fail-open on lookup errors'; on getEntitlement throw the handler proceeds to visionFactory().draftFromPhoto. Contrast /api/check route.ts:225 which returns 503 on the same failure.,P1 MAJOR,G6 client-vs-server billing/entitlement truth
AUD-023,P1 MAJOR,Safety contract validator false-green scope,current committed local source and local static test,Run npm run contract on the exact deployed SHA then compare --qualitative-only patterns with the active clinical possible-hypoglycemia row,A green qualitative/no-prescribing safety gate rejects active quantitative food dose timing or treatment instructions that violate the product boundary,The validator passes all nine checks while active runtime copy says about 15 grams of named fast-acting carbohydrates and recheck in 15 minutes. tests/fixtures/safety-contract.json defines qualitative-only as only exact mg/dL GI GL and spike patterns; it has no treatment grams timing or clinical-row exception consistency rule,The validator tests a narrow regex fixture and ledger structure rather than the full declared intended-use and no-prescribing contract,CI and release reports can cite a green safety contract while shipping the P0 contradictory instruction,Extend the governed machine-checkable boundary to treatment/prescribing dose food/timing instructions and require every active exception to fail or change the declared product scope,Negative fixture with the exact active instruction and contract-level consistency test between claim classes ledger rows and banned families,R005 passed in under one second and therefore demonstrates the blind spot rather than closing health safety; no validator change authorized,OPEN,Engineering and product safety,CONFIRMED,"tests/fixtures/safety-contract.json qualitativeOnly.forbiddenPatterns contains exactly four numeric patterns (mg/dL, GI, GL, spike+mg/dL) - no grams/timing/treatment class; validation contract run V009 passed all nine gates on the same tree whose live production route emits the 15/15 instruction (V017).",P1 MAJOR,G1 safety-scope contradiction and claims-gate narrowness
AUD-024,P0 BLOCKER,Passwordless account identity normalization,production dependency audit and current auth source,Run npm audit --omit=dev at deployed SHA; inspect installed @auth/core 0.41.2 defaultNormalizer and auth.ts Resend provider; compare GHSA-7rqj-j65f-68wh,Magic-link recipient identifiers are canonicalized before validation so a sign-in link cannot be delivered to a different mailbox representation,Revora uses affected @auth/core 0.41.2 and next-auth beta.31 with the email provider and no normalizeIdentifier override. The default validates one ASCII @ before Unicode normalization and auth.ts passes the result unchanged to Resend. GitHub's reviewed advisory classifies this configuration as potential no-interaction account takeover when the downstream mail path normalizes a homoglyph separator; patched versions are @auth/core 0.41.3 / next-auth beta.32,A newly published upstream vulnerability is directly reachable through Revora's only production sign-in method and no application-level canonicalization/rejection mitigates it,An attacker who knows a user's email may be able to redirect a passwordless sign-in link to an attacker-controlled mailbox and obtain that user's account health history subscription and data-right actions,Upgrade to the patched Auth.js release or canonicalize NFKC then validate exactly one ASCII @ before Auth.js and before delivery; invalidate outstanding verification tokens after remediation,Unicode separator corpus through sign-in request and delivery-recipient seam asserting rejection plus authenticated cross-account denial,R012 and R013 fail; source reachability confirmed. The getToken advisory is not reachable because Revora never calls getToken and the OAuth mix-up advisory is not reachable because only one email provider is configured. No exploit email was sent and no fix is authorized,OPEN,Security and identity engineering,CONFIRMED,package-lock: @auth/core 0.41.2 + next-auth 5.0.0-beta.31 (affected); npm audit --omit=dev exits 1 listing GHSA-7rqj-j65f-68wh (critical); installed node_modules/@auth/core/lib/actions/signin/send-token.js:74-98 defaultNormalizer splits on ASCII @ with no Unicode normalization; auth.ts Resend provider sets no normalizeIdentifier and passes params.identifier unchanged to sendEmail. getToken advisory unreachable (grep: zero first-party getToken calls); OAuth advisory unreachable (email provider only). Patched @auth/core 0.41.3 / next-auth 5.0.0-beta.32 exist on npm.,P0 BLOCKER,G4 auth dependency and identity chain
