Run ID,Started UTC,Duration seconds,Candidate,Environment,Evidence class,Command,Exit code,Passed,Failed,Skipped,Retries,Warnings or limitations,Artifact path
R016,2026-07-24T02:16:32Z,1135,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree plus disposable loopback PostgreSQL,"local optimized browser E2E; mocked/stubbed providers","DATABASE_URL=loopback npm run e2e",0,225,0,12,0,"237 project cases across Mobile Chrome Mobile Safari and Desktop Chrome; assertion phase 15.9m; 12 skips are four private/live Pantry cases repeated in three projects; repeated NO_COLOR/FORCE_COLOR Node warnings; no provider credentials inherited; no tracked pollution",artifacts/qa/2026-07-23-e2e-production-sha-24d88ec/playwright-report.html
R017,2026-07-24T02:36:41Z,1,24d88ec85ba52162544e0336a189db340c18616d,isolated optimized runtime plus disposable loopback PostgreSQL,local HTTP failure-path,"POST 12 synthetic check cases with OPENAI_API_KEY empty",0,0,12,0,0,"All clinical boundary malformed and oversized cases incorrectly collapsed to HTTP 200 provider-error retry before deterministic routing; counted as 12 behavioral failures despite command exit 0; no external request or spend",terminal transcript and AUD-025
R018,2026-07-24T02:38:25Z,1,24d88ec85ba52162544e0336a189db340c18616d,isolated optimized runtime with placeholder key and loopback-only provider,local HTTP deterministic paths,"POST eight synthetic clinical boundary and malformed cases",0,8,0,0,0,"Two broad possible-hypoglycemia cases rendered the active 15-grams/15-minutes treatment instruction; urgent and A1C boundary routes worked; three malformed cases returned HTTP 200 rather than 4xx; zero external requests",terminal transcript and AUD-015/AUD-027
R019,2026-07-24T02:41:10Z,12,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local deterministic function,npx tsx routeA1C boundary matrix,0,7,0,0,0,"5.69 below; 5.70 in low band; 6.39 6.40 and 6.49 in high conservative band; 6.50 out of scope; direct NaN maps high but the request schema rejects NaN before this function",terminal transcript
R020,2026-07-24T02:41:39Z,121,24d88ec85ba52162544e0336a189db340c18616d,isolated optimized runtime plus Mobile Chrome,local real-browser critical-path,"Submit synthetic shaky-and-clammy case with loopback-only configured provider and then with model credential missing",0,2,0,0,0,"Configured case visibly rendered the active 15-15 instruction; missing credential visibly rendered generic simpler-food retry; both runs also emitted guest GET /api/history 401 console error; no page exception or external provider call",artifacts/qa/2026-07-23-critical-runtime
R021,2026-07-24T03:15:15Z,25,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local deterministic release-corpus replay,"Run every harmfulIfSafe+knownGap fixture through production-source checkFood with its recorded model output",0,0,2,0,0,"Both deliberately exempted rows returned result/SAFE: stratum-sauce-bbq-ribs and stratum-underdesc-leftover-curry; no external request",terminal transcript and AUD-029
R022,2026-07-24T03:13:50Z,37,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local deterministic intended-use replay,"Run two explicit pediatric inputs through production-source checkFood with a scripted safe result model",0,0,2,0,0,"The 10-year-old input returned an ordinary MODERATE result and the 8-year-old input returned an ordinary food clarification; neither routed adult-only scope; no external request",terminal transcript and AUD-030
R023,2026-07-24T03:17:09Z,11,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local deterministic claims-enforcement replay,"Call assertNoForbiddenClaims with five indirect prediction and personal-safety paraphrases",0,0,5,0,0,"All five returned blocked=false including safe for you and bring your levels down; no model/provider call",terminal transcript and AUD-031
R024,2026-07-24T03:19:13Z,40,24d88ec85ba52162544e0336a189db340c18616d,production revora.plus,read-only production HTTP,"GET all 27 code-derived pages plus /pantry/claim with redirect following",0,28,0,0,0,"Ordinary pages ended 200; three signed-out Pantry/report routes redirected to sign-in then 200; admin feedback admin Pantry and video engine returned intentional 404",terminal transcript
R025,2026-07-24T03:20:10Z,24,24d88ec85ba52162544e0336a189db340c18616d,production revora.plus,read-only production API,"GET 15 public/private/flagged/internal endpoints without cookies",0,15,0,0,0,"Health/live/paywall 200; private owner endpoints 401; Journey and Memory core APIs 404/off while Memory export remains 401; video engine 404; wrong-method photo GET 405",terminal transcript
R026,2026-07-24T03:20:56Z,6,24d88ec85ba52162544e0336a189db340c18616d,production revora.plus,read-only production headers,"HEAD / /check /signin /subscribe /privacy and select security/cache headers",0,5,0,0,0,"All five include CSP frame-ancestors none HSTS two years includeSubDomains DENY nosniff strict-origin and bounded permissions; script/style unsafe-inline remains; no values/cookies captured",terminal transcript
R027,2026-07-24T03:22:06Z,4,24d88ec85ba52162544e0336a189db340c18616d,Stripe live mode,read-only production billing catalog,"stripe prices list --live with product expansion and privacy-safe field projection",0,5,0,0,0,"Revora Premium has active live annual 9999 and monthly 1999/1299/999 recurring prices; Pantry has active live 4900 one-time price; deployed price-ID binding remains secret and was not printed",terminal transcript
R028,2026-07-24T03:22:18Z,12,24d88ec85ba52162544e0336a189db340c18616d,Stripe live mode,read-only production paid denominator,"List subscriptions --live --status all for all four active Revora recurring prices and project only counts/has_more",0,4,0,0,0,"Every price returned count zero and has_more false; no customer objects identifiers or emails printed",terminal transcript
R029,2026-07-24T03:22:50Z,51,24d88ec85ba52162544e0336a189db340c18616d,Stripe live mode,read-only production checkout denominator,"List live Checkout Sessions then inspect line-item product names while projecting no customer fields",0,3,0,0,0,"Three Revora sessions found: one subscription and two Pantry; all expired and unpaid. No session/customer IDs emails or user fields printed",terminal transcript
R030,2026-07-24T03:24:27Z,16,24d88ec85ba52162544e0336a189db340c18616d,Railway production Postgres services,read-only privacy-safe database aggregate,"railway run node-pg count-only query across 13 cohort/product tables on Postgres and Postgres-FOMu",0,2,0,0,0,"Canonical Postgres: users 2 support_cases 4 and zero in every activation/payment/retention table. Postgres-FOMu: billing_event_inbox 7 and zero users/profiles/checks/subscriptions/retention/Pantry/support. No row contents identifiers or health data selected",terminal transcript
R031,2026-07-24T02:48:27Z,not-captured,24d88ec85ba52162544e0336a189db340c18616d,production revora.plus via audit-host Chromium,read-only production browser crawl,"Two complete 28-route crawls plus a third network-service-disabled attempt",0,0,2,0,0,"Both complete crawls were contaminated by pervasive net::ERR_NETWORK_CHANGED while simultaneous curl and the exact local build were healthy; third attempt was terminated before aggregate after 70 seconds. The isolated /home React 418 signal is not classified as a product defect because it did not reproduce locally or without the network failures. Production browser console/hydration cleanliness remains UNVERIFIED",artifacts/qa/2026-07-23-production-route-crawl
R032,2026-07-24T03:27:10Z,25,24d88ec85ba52162544e0336a189db340c18616d,GitHub and Vercel,read-only clean branch/deployment identity,"List main CI/CodeQL runs and branch PRs; inspect revora.plus deployment",0,3,0,0,0,"Exact production SHA has successful CI and CodeQL; PR 35 merged local SHA; Vercel production deployment dpl_xSxcn7uzGoBF8XmSjD2bFS4VDtvm is READY",terminal transcript
R033,2026-07-24T03:36:33Z,1,24d88ec85ba52162544e0336a189db340c18616d,local audit evidence set,secret/privacy hygiene,"Scan 26 audit text/evidence files for credential URL key and private-key patterns without printing matches",0,26,0,0,0,"Zero flagged files; binary screenshots skipped by content check; no production/user data values selected during audit",terminal transcript
R034,2026-07-24T03:38:51Z,1,24d88ec85ba52162544e0336a189db340c18616d,root checkout and audit artifacts,final integrity,"Validate six CSV schemas 11 report links JSON parse trailing whitespace credential patterns report hash package restoration and disposable-resource cleanup",0,10,0,0,0,"All audit files valid; report SHA-256 matched handoff; package manifests have no diff; audit worktree and container absent. Root git diff --check remains exit 2 solely because opening user-owned docs/retention_flow.md:77 has trailing whitespace",terminal transcript
