API ID,Endpoint/method,Caller,Authz/tier/flag,Valid case,Invalid or unauthorized case,Dependency failure and recovery,Data effect,Privacy evidence,Test/evidence,Verdict,Finding IDs
A026,GET /api/cron/pantry-sweep,scheduler,"timing-safe CRON_SECRET","Recover/expire Pantry work and clean blobs","401 missing/wrong secret","500 on failure for scheduler retry; backlog live drill absent","Mutates Pantry lifecycle/blob deletion and heartbeat","No response content from reports","pantry-sweep/blob units; Railway aggregate",PARTIAL,AUD-021
A027,GET /api/cron/stripe-reconcile,scheduler,"timing-safe CRON_SECRET","Reconcile inbox/provider state and heartbeat","401 missing/wrong secret","500 on Stripe/DB failure; next run can retry","Mutates inbox/subscriptions/heartbeat","Billing telemetry redacted","reconcile/self-healing units; Railway aggregate",PARTIAL,
A028,GET /api/cron/trial-precharge,scheduler,"timing-safe CRON_SECRET","Send one idempotent precharge email per eligible trial","401 missing/wrong secret","Email failure recorded/retried; provider receipt unverified","Writes email attempts and heartbeat","Template contains billing timing not health text","trial-precharge/email units; Railway aggregate",PARTIAL,
A029,GET /api/entitlement,signed-in or guest,session optional,"Return server-authoritative access state and self-heal provider data","Anonymous returns free state or 401 contract by caller; wrong owner impossible","Stripe/Play/DB outage becomes syncing/unavailable; no false paywall expected","May refresh subscription on read","No health data; provider ids server-side","entitlement/self-healing units; production anonymous 401",PARTIAL,
A030,POST /api/feedback,check owner or guest-local id,"session/ownership; result id; constrained vote","Create/update helpful or not-helpful feedback","400 malformed; 401/404 wrong owner depending state","DB failure returns retry; duplicate idempotency units","Upserts check_feedback","No meal text in analytics; owner-bound check id","feedback routes/client units and E2E",PARTIAL,
A031,GET /api/health/live,public,none,"200 process liveness","No user input","Does not probe dependencies by design","None","Boolean/process metadata only","health-live unit; production 200",PROVEN,
A032,GET /api/health,public,none,"200 readiness with launch/config/DB/cron booleans","No user input","503 on missing/bad enforced dependency","Reads heartbeat only","No values/secrets/user rows returned","health unit; production healthy response",PARTIAL,
A033,DELETE /api/history/[id],signed-in user,session and owner id,"Delete one owned check","401 anonymous; 404 wrong owner/missing id","DB failure safe; cross-device recovery not exercised","Deletes check and cascaded feedback/memory links as schema allows","Object-level owner filter","history-routes units and history E2E",PARTIAL,
A034,POST /api/history/action,signed-in user,session and owner id,"Update bounded follow-up action","401; 400 malformed; 404 wrong owner","DB failure safe; concurrency unverified","Updates owned check action fields","POST body keeps meal text out of URL","history-routes units",PARTIAL,
A035,GET /api/history/export,signed-in user,session,"Download complete owned check history","401 anonymous","Decrypt/corrupt row behavior tested in part; large export unverified","Read only","Owner filter; attachment; meal text not query string","history-routes units; production anonymous 401",PARTIAL,
A036,POST /api/history/migrate,signed-in new account,session and bounded guest payload,"Import guest checks idempotently","401; 400 malformed/oversized","Partial batch/replay tests exist; multi-device collision unverified","Inserts encrypted owned check snapshots","Body-only health data; no URL/log payload intended","history-routes and welcome E2E",PARTIAL,
A037,GET /api/history,signed-in user,session,"Paginated owned checks","401 anonymous","DB/decrypt failures produce retry; guest UI currently generates expected 401 noise","Read only","Owner filter; encrypted at rest; no query meal text","history units/E2E; production anonymous 401",PARTIAL,AUD-026
A038,POST /api/history/search,signed-in user,session and bounded query,"Search decrypted/derived owned history without query URL","401; 400 malformed/oversized","DB/decrypt failure safe; large-account performance unverified","Read only","Search text remains POST body; owner filter","history-routes and history E2E",PARTIAL,
A039,GET /api/journey,Premium signed-in user,"both Journey flags; Premium","Return derived stage/pause/graduation state","404 off; 401 anonymous; 402 not Premium","DB failure safe; production intentionally off","May initialize/read journey depending handler contract","Owner filter; no raw meal text in state","journey-route units; production 404",PARTIAL,AUD-002
A040,POST /api/journey,Premium signed-in user,"both Journey flags; Premium; valid transition","Start/pause/resume/advance/graduation/maintenance transition","404 off; 401; 402; 400 invalid; 409 stale/sequential duplicate","Concurrent initial starts can surface 500","Inserts/updates singleton learning_journeys","Owner filter; compare-and-set versioning","journey units; off-state E2E",FAILED,"AUD-002; AUD-020"
A041,GET /api/journey/weekly,Premium signed-in user,"both Journey flags; Premium","Create/read cached weekly learning and invalidate on reflection change","404 off; 401; 402","DB/model-free compute failure retry; fully-on browser unverified","Reads checks; inserts/updates weekly_reflections","Owner-only; bounded qualitative artifact","weekly-learning units; production 404",PARTIAL,AUD-002
A042,PATCH /api/memory/[id],Premium signed-in user,"both Memory flags; Premium; owner id","Edit favorite/labels/notes/name without changing source snapshot","404 off/wrong owner; 401; 402; 400 malformed","DB failure safe; concurrent edit unverified","Updates mutable memory metadata only","Encrypted notes/labels; owner filter","memory-controls/routes units",PARTIAL,AUD-002
A043,DELETE /api/memory/[id],Premium signed-in user,"both Memory flags; Premium; owner id","Delete one memory","404 off/wrong owner; 401; 402","DB failure safe","Deletes one owner row","Owner filter","memory-controls/routes units",PARTIAL,AUD-002
A044,GET /api/memory/export,signed-in owner,"session; export preserved when feature off","Export all owned memories","401 anonymous","Decrypt/corrupt row behavior partial","Read only","Owner filter and attachment; production anonymous 401","memory-route units; off-state contract",PARTIAL,
A045,POST /api/memory/recall,Premium signed-in user,"both Memory flags; Premium; normalized query","Exact-match recall with immutable source snapshot","404 off; 401; 402; 400 malformed","DB failure safe; large-account search unverified","Read only","Owner filter; memory is not passed to meal engine","memory-recall/non-interference units",PARTIAL,AUD-002
A046,GET /api/memory,Premium signed-in user,"both Memory flags; Premium","Paginated owned memories","404 off; 401; 402","DB/decrypt failure safe","Read only","Owner filter; encrypted fields","memory-routes units; production 404",PARTIAL,AUD-002
A047,POST /api/memory,Premium signed-in user,"both Memory flags; Premium; owned check","Save immutable snapshot or idempotent match","404 off; 401; 402; 400/404 wrong check","DB conflict handling tests; cross-device race incomplete","Inserts meal_memories linked to owner check","Owner filter; encrypted snapshot/metadata","memory-routes/non-interference units",PARTIAL,AUD-002
A048,DELETE /api/memory,Premium signed-in user,"both Memory flags; Premium; explicit confirmation","Delete all memories","404 off; 401; 402; 400 absent confirmation","DB failure safe","Deletes all owner memory rows","Owner filter","memory-controls unit",PARTIAL,AUD-002
A049,POST /api/memory/search,Premium signed-in user,"both Memory flags; Premium; bounded body query","Search owned memory names/labels/notes","404 off; 401; 402; 400 malformed","DB/decrypt failure safe; pagination stress absent","Read only","POST body; owner filter; no URL health text","memory route units",PARTIAL,AUD-002
A050,POST /api/pantry/confirm,claimed Pantry buyer,"session; owner order in awaiting_confirm; valid items","Replace drafts and move order to processing","401; 400 malformed; 404 wrong owner; 409 wrong state","Nontransactional delete/insert can strand processing with missing items","Updates order; deletes and reinserts pantry_items","Owner filter; item text encrypted where designed","pantry-confirm units; provider E2E skipped",FAILED,AUD-021
A051,POST /api/pantry/process,buyer or scheduler,"owner session or timing-safe cron bearer","Queue/process one eligible order","401; 400; 404 wrong owner/order","Model/blob/DB lease recovery tested in units; complete live path skipped","Transitions order/report/items and may delete blobs/send email","Owner or cron; encrypted report; private blob","pantry-process units; live provider E2E skipped",PARTIAL,AUD-021
A052,POST /api/pantry/submit,claimed Pantry buyer,"session; owner order; rate/capacity; submitted photos","Extract editable inventory and move to awaiting_confirm","401; 400; 404; 429","Concurrent/retried calls can duplicate writes/model work or strand state","Inserts photos/items and updates order through multiple commits","Private blob URLs; image sent to model; no live fixture authorized","pantry-submit/extract units; browser cases skipped",FAILED,AUD-021
A053,POST /api/pantry/upload,claimed Pantry buyer,"session; owner-scoped pathname; private Blob config","Authorize/direct private upload","401; 400 wrong path/payload; 503 missing token","Blob error returns safe failure; cleanup recovery partial","Creates provider blob only; DB row comes at submit","Owner/path binding and private access tests","pantry-upload-auth/blob units",PARTIAL,
A054,GET /api/paywall,public,"server pricing environment","Return mode/variant/display price/cadence","No user input; bad config fails deployment/runtime","Server config failure; no stale client fallback intended","None","No user data","paywall/pricing units; production response",PROVEN,
A055,GET /api/profile,signed-in user,session,"Return decrypted own profile or hasProfile false","401 anonymous","DB/key/tamper failure captured; real restricted-role proof absent","Read only","Owner filter; encrypted A1C/timezone/settings","profile/crypto units; production anonymous 401",PARTIAL,
A056,POST /api/profile,signed-in consenting user,"session; valid prediabetes-range A1C/consent/timezone","Create or replace encrypted profile","401; 400 invalid/below/diabetes-range/no consent","DB/key failure safe; concurrent create unverified","Upserts profiles","A1C encrypted at rest; no analytics value","profile-route/crypto units",PARTIAL,
A057,PATCH /api/profile,signed-in user,session and bounded settings,"Update reminder/consent-related settings","401; 400 malformed","DB failure safe; lease-aware nudge setting clear","Updates profile and notification controls","Owner filter; no raw A1C in telemetry","profile/push/nudge units",PARTIAL,
A058,POST /api/push/subscribe,signed-in user,"session; valid Web Push endpoint/keys","Upsert one user-owned push subscription","401; 400 invalid","DB failure safe; real push delivery unverified","Upserts push_subscriptions","Keys server-side; endpoint not analytics","push-route/nudge units",PARTIAL,
A059,DELETE /api/push/subscribe,signed-in user,"session; owner endpoint/body","Delete/disable owned subscription","401; 400 invalid","DB failure safe; in-flight lease handling unit-tested","Deletes owner push subscription","Owner filter","push-route/nudge units",PARTIAL,
A060,POST /api/support/case,signed-in user,session and bounded category/message,"Create support/refund request and notify support","401; 400 invalid/oversized","Email failure is recorded without losing case; provider receipt unverified","Inserts encrypted support_cases and email attempt","Message encrypted; notification minimized; no health analytics","support-case/email units; production aggregate only",PARTIAL,
A061,POST /api/trial/start,new or returning buyer,"legal acceptance; valid server price; session/account policy","Create checkout with trial when eligible","400 bad plan/legal; config/provider errors","Stripe failure safe; prior subscriber intentionally loses trial","May create user/provider checkout metadata; no entitlement yet","No meal text; billing telemetry redacted","trial-start/schema units; no mutation audit",FAILED,AUD-011
A062,POST /api/video-engine/approve,internal developer,VIDEO_ENGINE_LOCAL_ONLY and local environment,"Append G1/G2 approve/reject decision","404 flag-off; 400 malformed","Filesystem failure bubbles; sandbox workflow not run end-to-end","Appends local decision state","Production returns 404; no user data intended","video route/guard/state units; production 404",PARTIAL,
A063,GET /api/video-engine/asset,internal developer,VIDEO_ENGINE_LOCAL_ONLY,"Serve allowlisted generated asset with range support","404 flag-off/missing; 400 bad date/path/spec","Filesystem read failure; traversal guarded","Read only","Resolved path constrained under output date assets","video routes/export units; production 404",PARTIAL,
A064,POST /api/video-engine/commit,internal developer,VIDEO_ENGINE_LOCAL_ONLY,"Commit approved local review artifacts","404 flag-off; 400 missing date","Git failure returns 500; no audit commit invoked","Creates local git commit when enabled","Production concealed; workspace-only content","video routes/guard units; production 404",PARTIAL,
A065,POST /api/video-engine/hooks,internal developer,VIDEO_ENGINE_LOCAL_ONLY and authenticated local CLI,"Persist VOC dump and spawn hooks job","404 off; 400 empty; 409 duplicate; 503 CLI unavailable","Run-file/child-process recovery unit-tested only","Writes local dump/run state and spawns process","Production concealed; source material local","video agents/routes/run units; production 404",PARTIAL,
A066,POST /api/video-engine/render,internal developer,VIDEO_ENGINE_LOCAL_ONLY and render runtime,"Spawn render for selected specs","404 off; 400 invalid; 409 duplicate; 503 runtime absent","Child/render failure recorded in run state; full sandbox not run","Writes run state and generated media","Production concealed","video render/routes units; production 404",PARTIAL,
A067,GET /api/video-engine/runs,internal developer,VIDEO_ENGINE_LOCAL_ONLY,"List local run summaries","404 flag-off","Filesystem failure unverified","Read only","Production concealed; no account data","video dashboard/routes units; production 404",PARTIAL,
A068,POST /api/video-engine/specs,internal developer,VIDEO_ENGINE_LOCAL_ONLY and authenticated local CLI,"Spawn specs job from selected hooks","404 off; 400 invalid; 409 duplicate; 503 CLI absent","Child/process recovery unit-tested only","Writes run state/spawns process","Production concealed","video agents/routes/run units; production 404",PARTIAL,
A069,GET /api/video-engine/state,internal developer,VIDEO_ENGINE_LOCAL_ONLY and date,"Read local workflow snapshot","404 off; 400 missing date","Filesystem failure unverified","Read only","Production concealed","video state/routes units; production 404",PARTIAL,
A070,POST /api/webhooks/resend,Resend,"webhook secret and provider signature","Apply delivered/bounced/complained event idempotently","400 malformed/bad signature; 503 missing secret","500 DB failure prompts retry","Updates email_delivery_attempts/suppressions","No email body/health text required; provider event minimized","email webhook/delivery units; no real email sent",PARTIAL,
A071,GET /pantry/claim,Pantry buyer,"claim token possession plus signed-in session","Bind first valid token to account then redirect intake","Sign-in redirect anonymous; wrong/expired/already-used token goes empty intake","DB failure safe but token race only unit-level","Updates order owner and hashes/clears claim token","Token stays in initial URL and is hashed at rest; no report content","pantry-claim/claims units; production bad-id redirect",PARTIAL,
