Matrix ID,Role or user state,Profile or health state,Data state,Flag or dependency state,Expected UI,Expected HTTP or server behavior,Expected data effect,Expected analytics,Current evidence,Verdict,Finding IDs
S34,any user,valid profile,photo none,client on/server off,"control rendered but request 404","server fails closed","no image stored","failed interaction only",unit; production build guards this asymmetric state,PARTIAL,
S35,any user,valid profile,photo none,client off/server on,"no control; direct API possible if caller knows it","server accepts because both effective checks depend on client env baked in same process; production build stance matters","draft only","bounded",build guard only one direction,PARTIAL,
S36,signed-in free/lapsed,valid profile,valid photo,both Photo flags on and trial entitlement healthy,"photo picker then upsell","402 before vision","no storage/provider call","bounded failure",unit,PARTIAL,
S37,signed-in free/lapsed,valid profile,valid photo,both Photo flags on and entitlement DB error,"neutral retry and zero spend expected","current handler catches error then calls vision","no intended persistence but provider receives image","error plus provider cost",static source; missing test,FAILED,AUD-022
S38,guest or Premium,valid profile,invalid/oversize/non-image photo,both Photo flags on,"calm validation error","400 before model","no persistence","none",unit,PARTIAL,
S39,Pantry buyer,consented intake,claimed order,normal single request,"upload/extract/edit confirmation","valid staged transitions","photos/items/order state","no photo/health in analytics",unit; provider browser skipped,PARTIAL,
S40,Pantry buyer,consented intake,claimed order,concurrent submit or DB fault,"idempotent single extraction and recoverable state expected","current autocommit path can duplicate or strand","duplicate/missing photo/item rows or stuck state","error may be captured without recovery",static source gap,FAILED,AUD-021
S41,new trial starter,no profile,no prior subscription row,Stripe healthy,"$0 today and seven-day disclosure","checkout carries trial_period_days=7","user may be created; subscription after provider event","trial_start only",unit/browser stub,PARTIAL,
S42,returning trial starter,no profile,any prior subscription row,Stripe healthy,"immediate-charge eligibility disclosure expected","current checkout omits trial but UI still says 7 free days","new checkout can bill immediately","misleading funnel event",source/unit contradiction,FAILED,AUD-011
S43,Pantry buyer,n/a,no order,Stripe live catalog has $49 but binding hidden,"display and checkout amount must share authority","checkout uses configured Price ID independent of display","order only after verified webhook","bounded purchase events","catalog read-only shows $49 object; binding unverified",PARTIAL,AUD-010
S44,any user,any,normal data,Edge launch ready/normal,"normal app","proxy passes with rate limits","normal","normal","production health says ready/normal; all 27 pages reachable at expected public/auth states",PARTIAL,
S45,any user,any,normal data,launch paused or kill switch,"truthful paused state and no paid calls","proxy/route fail closed as designed","no user mutation/provider spend","bounded paused reason",unit; live mutation unauthorized,PARTIAL,
S46,any signed-in checker,valid profile,normal data,trial entitlement database unavailable,"neutral retry not false paywall/free access","text returns 503 before model","no row/provider spend","server_error",unit/source,PARTIAL,
S47,any user,any,normal data,Upstash unavailable,"availability or fail-closed stance varies by protected surface and must be disclosed","rate-limit fallback per route/proxy","no counter certainty","error capture without PII",unit only,PARTIAL,
S48,any user,any,normal data,OpenAI timeout/malformed/schema violation,"calm retry no fabricated result","single bounded attempt and fail-closed postprocess","no successful result row","model failure only",unit/eval; live provider unverified,PARTIAL,
S49,any user,any,normal data,analytics/Sentry unavailable,"product remains usable; no false success claim","provider loss does not alter core response","no health payload queued unsafely","missing receipt observable through operations",unit and production config only,UNVERIFIED,
S50,installed PWA user,any,local cached shell,offline/reconnect/update,"offline shell truthful and no fake check result","network-dependent check fails safely; caches exclude sensitive API","no stale private response cache","no sensitive queued telemetry","SW blocked in browser suite; static tests only",UNVERIFIED,
S51,adult user reporting shaky/dizzy/clammy,valid in-range A1C,synthetic input,configured placeholder model,"non-verdict bounded safety route with no treatment/dose/timing instruction","200 clinical possible_hypoglycemia before model","no check result persistence","clinical route only","exact optimized HTTP and Mobile Chrome render the 15-grams/15-minutes instruction",FAILED,AUD-015
S52,user explicitly identifying a child,synthetic in-range A1C,none,scripted deterministic model,"adult-only out-of-scope card and zero model call","ordinary MODERATE result or food clarification","could persist as ordinary check in route composition","ordinary check event","production-source checkFood replay for 8- and 10-year-old wording",FAILED,AUD-030
S53,prospective or actual payer,n/a,zero paid and zero activated cohort,live Stripe plus canonical production database,"no retention claim beyond measured period","four recurring price denominators all zero; three sessions expired/unpaid; zero checks/subscriptions/retention rows","no paid cohort state exists","no D30/D90/D180/D365 denominator","read-only live-mode Stripe and count-only production DB evidence",UNVERIFIED,AUD-028
