ID,Severity,Surface,Evidence bucket,Reproduction,Expected,Actual,Root cause,User/business risk,Fix,Regression test,Retest,Status,Owner/blocker
AUD-011,P1 MAJOR,Seven-day trial eligibility,current committed local source,"Start /api/trial/start for an account that has any prior subscriptions row and compare the Stripe session payload with components/trial-wall.tsx","The UI states trial eligibility accurately before a user authorizes checkout","The wall unconditionally says 7 days free with either plan and the chosen price after 7 free days; createTrialStartHandler intentionally omits trial_period_days for every account with any historical subscription row","Eligibility enforcement was added server-side without an eligibility result or qualified copy on the public wall","Returning customers can authorize immediate billing while the UI says nothing is charged today and the first charge is Day 7","Return authoritative eligibility before rendering or prevent ineligible trial entry and show the immediate charge date/amount before acceptance","Prior-subscriber monthly and annual test asserting UI disclosure and Stripe payload agree; new-user control retains seven days","Static contradiction confirmed; no real checkout created and no fix/retest authorized",OPEN,Engineering billing and product
AUD-012,P1 MAJOR,Account data-export promise,current committed local source,"Click Download your data from app/(app)/account/page.tsx and inspect GET /api/account/export","A control described as everything we hold as one file downloads one complete user-scoped portable artifact","The account export contains profile weekly reflections Pantry orders and support cases but excludes checks and meal memories and only returns endpoint strings for two more downloads; it also omits several identity session and billing datasets. The UI simultaneously says one file and says checks/saved meals have separate downloads","The route was expanded from health-data gaps but kept multiple exports while the account copy overstates aggregation and scope","A user exercising data rights can reasonably believe the single file is complete and miss material personal history or account data","Either produce one complete export with a documented necessary exclusion schedule or narrow the control's claim and provide an explicit multi-file checklist","Seed every user-owned table and assert one export contains or explicitly accounts for every row without cross-user leakage","Static handler/UI contradiction confirmed; route tests do not establish a complete schema-to-export denominator and no fix is authorized",OPEN,Engineering and privacy operations
AUD-013,P1 MAJOR,Account deletion promise,current committed local source,"Compare app/(app)/account/delete/page.tsx with POST /api/account/delete and privacy disclosures; exercise handler with an active Play subscription fixture","Public deletion copy states exactly what can be deleted immediately and what must remain or be canceled externally","The public page says everything including subscription records is removed with no retention window and deletion is immediate and complete. The handler returns 409 until an active Play subscription is canceled and writes a hashed deletion-log row after deletion; payment providers may retain records outside Revora","The public store-facing deletion promise is broader than the fail-closed provider workflow and retained-record disclosure","A user can be surprised that deletion is blocked or that bounded records remain after an absolute erasure promise","Qualify the public copy with provider cancellation and retained-record boundaries and link an actionable Play path while keeping fail-closed billing behavior","Play-active deletion 409 UI journey plus successful deletion inventory that reconciles all local/provider-retained categories","Source and handler contradiction confirmed; no provider mutation or post-fix retest authorized",OPEN,Product privacy and billing operations
AUD-014,P1 MAJOR,One-clarification contract,current committed local source,"Submit a deterministically ambiguous input then a follow-up that reaches a model returning kind=clarify","After one clarification Revora returns a result safe refusal or conservative floor rather than another question","The clarified flag suppresses only classifyInputBeforeModel's deterministic question. mapModelOutput accepts and returns a model-authored clarify without checking clarified so a second and subsequent model question can render; generic model questions are not recorded in pendingClarifyRef","The one-question cap is enforced before the model but not at the model-output boundary","Users can enter the loop the product explicitly promises to avoid and ambiguity metrics omit the repeated model path","When clarified is true reject or conservatively resolve model clarify output and preserve safe clinical/not-food precedence","Service test with clarified=true plus model kind=clarify and browser follow-up loop regression","Static call-path contradiction confirmed; behavior remains to be executed in the deterministic suite and no fix is authorized",OPEN,Engineering and model contract
AUD-015,P0 BLOCKER,Clinical routing and stated no-prescribing boundary,current committed local source,"Submit food text containing any broad possible-hypoglycemia trigger such as 'shaky' or 'dizzy' and inspect the deterministic clinical response loaded from docs/safety/copy-ledger.md","A narrow educational meal checker routes possible medical symptoms out of scope without diagnosing treating prescribing or issuing unsupported exact quantitative instructions","The active contract labels bare shaky sweaty dizzy and heart racing as possible hypoglycemia and returns a directive to take about 15 grams of specified fast-acting carbohydrate then recheck in 15 minutes. This is an explicit food/dose/timing first-aid instruction and a documented exception to the repository's qualitative informational-only boundary and this audit's no-prescribing requirement","An owner exception was embedded in the active copy ledger and loaded directly at runtime while claims-boundary.md still declares informational-only qualitative behavior","A nonspecific symptom can be misclassified as low blood sugar and receive immediate quantitative self-treatment instructions from an app that lacks glucose readings medication history diagnosis or context","Keep the deterministic no-model safety route but replace treatment instructions with a bounded urgent human-care route consistent with the stated product scope; any future emergency instruction requires a separately governed product scope","Contract test that every clinical route contains no food dose grams measurement timing or treatment instruction plus broad-trigger false-positive corpus","Source-to-runtime path confirmed; current validators are expected to bless the owner exception and therefore cannot close this finding; no fix authorized",OPEN,Product safety owner
AUD-016,P1 MAJOR,Pantry personal-suitability claims,current committed local source,"Open a delivered report and inspect app/report/[id]/page.tsx headings and compare with the general-pattern boundary","Pantry labels describe general item patterns and never imply that an item is personally safe suitable or effective for the user's A1C range","The report says items 'fit your range as they are — no changes needed' and that tweaks make items 'work better for you'","The separate Pantry presentation was not reconciled to the meal-check disclaimer's prohibition on personal suitability","A health-adjacent user may treat the report as individualized clearance based on their A1C rather than general educational guidance","Use general-pattern language consistent with the shared boundary and make uncertainty/limits visible on the report itself","Rendered Pantry report claims scan and screenshot across all three categories","Static active report copy confirmed; no fix/retest authorized",OPEN,Product and engineering
AUD-017,P3 MINOR,Onboarding evidence claim,current committed local source,"Open the guided first-check step in app/(app)/onboarding/page.tsx and trace its evidence row in docs/safety/copy-ledger.md","Quantified or popularity-like claims have current evidence or are presented as examples without implied prevalence","The onboarding says oatmeal banana and orange juice 'surprise almost everyone' while its evidence row supports only general meal planning and supplies no user or prevalence evidence","Promotional language was approved by a copy ledger focused on prohibited medical wording rather than substantiation","The phrase can manufacture social proof and diminish trust when individual expectations differ","Replace the prevalence-like assertion with neutral example framing unless real study evidence supports it","Copy contract rejecting universal popularity/prevalence claims without evidence registry linkage","Static unsupported claim confirmed; no fix/retest authorized",OPEN,Product
AUD-018,P2 MODERATE,Playwright release-gate retry truth,current committed local source,"Compare playwright.config.ts retries=0 and its no-retry rationale with tests/smoke/dashboard.spec.ts:9 and tests/smoke/legal-placeholders.spec.ts:27","Every release-gate browser assertion passes on its first attempt and reported retry count is zero","Two spec files locally override the project setting with retries=2; their comments still describe next-dev cold compilation even though the harness now builds optimized next-start servers","Old anti-flake overrides survived the production-server harness migration and silently supersede the global no-retry contract","An intermittent dashboard or legal failure can appear as a green suite while violating the audit's rule that a retry remains a flake finding","Remove or explicitly report local retries after proving the optimized-server race is gone; keep retained traces on first failure","Static config contract test rejecting per-suite retry overrides and repeated cold-run evidence","Static contradiction confirmed; actual retry counts will be captured from the full suite and no fix is authorized",OPEN,Engineering and CI
AUD-019,P1 MAJOR,Learning Journey pause versus flag rollback,current committed local source,"Create an opted-in Premium user with journey state paused then run the nudge cron once with both journey flags on and once after LEARNING_JOURNEY_ENABLED is removed","A user's paused state continues to suppress journey-related notifications through a kill-switch rollback or is explicitly converted to an equally quiet state","With the feature enabled selectJourneyNudge stops paused users; with the flag off runNudgeCron deliberately skips loading the journey and sends a generic nudge. tests/unit/server/nudge.test.ts:748-759 codifies one sent notification","Journey stop rules are placed entirely inside the feature-on branch while the older generic nudge system remains independently active","An operational rollback can override a user's pause choice and send an unexpected health-adjacent notification damaging consent and trust","Make pause/graduate stop state durable across feature-off operation or explicitly turn off the underlying nudge preference when pausing; rollback must fail quiet","Flag-on paused then server-off and asymmetric flag-state nudge tests asserting zero sends; resume control","Source and existing test reproduction confirmed; production journey flags are currently absent/off so this affects rollout/rollback readiness and no fix is authorized",OPEN,Engineering product and privacy
AUD-020,P2 MODERATE,Learning Journey initial-start concurrency,current committed local source,"Issue two simultaneous POST /api/journey actions=start for the same eligible user with no existing journey row","One request creates the singleton and the other returns the documented conflict response without an internal error","Both requests can load exists=false; one insert wins the unique user constraint and the other falls through the generic catch to HTTP 500. The existing double-start test is sequential and never exercises the race","Compare-and-set handling exists only for updates; the initial insert does not translate a uniqueness conflict to the same 409 contract","Rapid double click multi-tab or retry produces a false server failure and noisy error capture even though the desired singleton exists","Use conflict-aware insert or translate the unique violation to an idempotent success/409 after re-read","True concurrent Promise.all start test against Postgres plus browser double-submit control","Static race and coverage gap confirmed; no mutation test or fix authorized yet",OPEN,Engineering
AUD-021,P1 MAJOR,Pantry submit and confirm atomicity/idempotency,current committed local source,"Send concurrent or retried POST /api/pantry/submit requests for the same claimed order; separately inject a failure between confirm status transition deletion and replacement insert","A paid one-time workflow performs each extraction once and commits order photos/items/state atomically or recovers idempotently from every partial failure","Submit selects claimed/submitted before separately inserting unkeyed photo rows updating to extracting making provider calls inserting unkeyed draft items and updating awaiting_confirm; concurrent readers and mid-flight failures can duplicate photos calls and items or strand state. Confirm changes status to processing then separately deletes all items and reinserts; an insert failure leaves processing with no or partial confirmed items and retry is rejected as already confirmed","The workflow uses multiple autocommit statements and external work without an idempotency key transactional state claim or compensating recovery for these stages","A paying Pantry buyer can incur duplicate model work receive duplicated/missing items or become permanently stuck after a transient database failure","Claim each stage atomically with a durable idempotency key and lease; transactionally replace item sets; add resumable compensation for external work","True concurrent submit plus fault injection after every write/provider boundary and retry/recovery assertions","Source call path and missing constraints confirmed; default browser suite skips the provider-backed Pantry journey and no fix is authorized",OPEN,Engineering billing operations and support
AUD-022,P1 MAJOR,Photo-draft entitlement failure stance,current committed local source,"Enable both photo flags and trial mode; resolve a signed-in non-Premium session then make getEntitlement throw before POST /api/check/photo-draft","An unreadable paid entitlement fails closed before a provider call just like the text check route","The route catches the entitlement error reports it and continues to visionFactory.draftFromPhoto. Its comment calls this fail-open metering availability while /api/check explicitly returns a 503 retry on the same trial entitlement failure","The photo endpoint independently copied an older fail-open entitlement pattern instead of sharing the text route's paid-boundary failure contract","During a database or billing read failure a signed-in free/lapsed caller bypasses the wall and incurs image-model spend; the UI can also present paid capability as available during an outage","Return a neutral retry without model spend when a signed-in trial-mode entitlement cannot be established; share one entitlement gate with text","Photo route test with getEntitlement rejection asserting 503/retry and zero vision calls plus getSession-failure policy test","Static catch-through path confirmed; current unit tests cover free 402 and model failure but not entitlement failure and no fix is authorized",OPEN,Engineering and billing
AUD-023,P1 MAJOR,Safety contract validator false-green scope,current committed local source and local static test,"Run npm run contract on the exact deployed SHA then compare --qualitative-only patterns with the active clinical possible-hypoglycemia row","A green qualitative/no-prescribing safety gate rejects active quantitative food dose timing or treatment instructions that violate the product boundary","The validator passes all nine checks while active runtime copy says about 15 grams of named fast-acting carbohydrates and recheck in 15 minutes. tests/fixtures/safety-contract.json defines qualitative-only as only exact mg/dL GI GL and spike patterns; it has no treatment grams timing or clinical-row exception consistency rule","The validator tests a narrow regex fixture and ledger structure rather than the full declared intended-use and no-prescribing contract","CI and release reports can cite a green safety contract while shipping the P0 contradictory instruction","Extend the governed machine-checkable boundary to treatment/prescribing dose food/timing instructions and require every active exception to fail or change the declared product scope","Negative fixture with the exact active instruction and contract-level consistency test between claim classes ledger rows and banned families","R005 passed in under one second and therefore demonstrates the blind spot rather than closing health safety; no validator change authorized",OPEN,Engineering and product safety
AUD-024,P0 BLOCKER,Passwordless account identity normalization,"production dependency audit and current auth source","Run npm audit --omit=dev at deployed SHA; inspect installed @auth/core 0.41.2 defaultNormalizer and auth.ts Resend provider; compare GHSA-7rqj-j65f-68wh","Magic-link recipient identifiers are canonicalized before validation so a sign-in link cannot be delivered to a different mailbox representation","Revora uses affected @auth/core 0.41.2 and next-auth beta.31 with the email provider and no normalizeIdentifier override. The default validates one ASCII @ before Unicode normalization and auth.ts passes the result unchanged to Resend. GitHub's reviewed advisory classifies this configuration as potential no-interaction account takeover when the downstream mail path normalizes a homoglyph separator; patched versions are @auth/core 0.41.3 / next-auth beta.32","A newly published upstream vulnerability is directly reachable through Revora's only production sign-in method and no application-level canonicalization/rejection mitigates it","An attacker who knows a user's email may be able to redirect a passwordless sign-in link to an attacker-controlled mailbox and obtain that user's account health history subscription and data-right actions","Upgrade to the patched Auth.js release or canonicalize NFKC then validate exactly one ASCII @ before Auth.js and before delivery; invalidate outstanding verification tokens after remediation","Unicode separator corpus through sign-in request and delivery-recipient seam asserting rejection plus authenticated cross-account denial","R012 and R013 fail; source reachability confirmed. The getToken advisory is not reachable because Revora never calls getToken and the OAuth mix-up advisory is not reachable because only one email provider is configured. No exploit email was sent and no fix is authorized",OPEN,Security and identity engineering
AUD-025,P0 BLOCKER,Deterministic clinical and boundary routing under model misconfiguration,local browser/runtime evidence,"Start the exact deployed build with a disposable loopback database and OPENAI_API_KEY explicitly empty; POST synthetic shaky dizzy chest-pain below-range malformed and oversized cases to /api/check; repeat shaky in the browser","Clinical urgent out-of-scope and invalid-input routing executes before any model client is needed and remains available when the provider is unavailable or misconfigured","Every case returned HTTP 200 kind=retry with the message to try a simpler food description. The browser showed that generic card for a synthetic shaky-and-clammy report. With a placeholder key and loopback-only base URL the same input immediately returned the clinical route proving provider construction was the only changed dependency","app/api/check/route.ts evaluates modelFactory(undefined) while constructing the options argument to checkFoodImpl; createOpenAIRevoraModelClient throws for a missing key before checkFood can validate or run classifyClinicalRisk and routeA1C","During a model credential incident an acute-symptom user is told to simplify a food description instead of seeing the urgent deterministic route; malformed input and A1C boundary behavior also become false provider failures","Defer modelFactory invocation until the service has passed all deterministic clinical A1C and precheck branches or pass a lazy model provider; keep those branches independent of model configuration","Optimized-build HTTP and browser cases with missing invalid and unreachable provider asserting clinical/out-of-scope/invalid results and zero provider construction/calls","Reproduced twice through the exact built route; artifacts/qa/2026-07-23-critical-runtime/clinical-provider-config-missing-retry-card.png; no fix authorized",OPEN,Engineering and operations
AUD-026,P3 MINOR,Guest check-page console and network hygiene,local browser/runtime evidence,"Open /check?stay=1 in a fresh anonymous Mobile Chrome context then submit a deterministic clinical case while recording every >=400 response console warning page error and failed request","The supported no-login core journey has no relevant console or network errors","GET /api/history returns 401 on every fresh guest check page and Chromium logs Failed to load resource as an error; the visible flow still completes. The 237-case Playwright suite does not fail on console/network output","CheckPage always mounts DailyLoop; DailyLoop calls loadHistory and loadHistory attempts the authenticated remote history endpoint before it falls back to on-device history without first knowing the user is signed out","Routine unauthorized traffic adds noise to browser diagnostics and monitoring and can conceal a real 401 regression; it also violates the stated clean-console completion gate","Avoid the remote history request for a known guest or make the guest history endpoint return an intentional non-error empty contract while preserving authorization on private data","Fresh guest browser assertion covering response statuses and console errors on check/home/meals","Reproduced in both critical browser captures; no page exception and no visible failure; no fix authorized",OPEN,Frontend and observability
AUD-027,P3 MINOR,Check API malformed-request HTTP contract,local browser/runtime evidence,"POST missing A1C string A1C and a 161-character meal directly to the exact optimized /api/check route with a configured loopback-only model client","A strict invalid request is rejected with an explicit 4xx status and a non-sensitive corrective body before entitlement provider or persistence work","All three return HTTP 200 with kind=retry and corrective copy. Telemetry labels them schema_error but HTTP clients and availability metrics see success","checkFood converts schema failure to a retry-shaped user response and the route serializes every non-throw response with NextResponse.json without an invalid-request status distinction","API consumers retries and monitoring cannot distinguish invalid caller input from successful checks; rate and operational metrics can be distorted","Return a documented 400 contract for strict schema failures or explicitly version and test the intentional 200 semantics end to end","Direct malformed Unicode oversized missing and wrong-type request matrix asserting status response and zero provider/data side effects","Reproduced with the exact built route; browser-side form validation separately prevents ordinary empty-form POSTs; no fix authorized",OPEN,API engineering
AUD-028,P1 MAJOR,Paid-retention evidence and instrumentation,production payment and privacy-safe cohort evidence,"Read-only query every active Revora recurring Stripe price for all subscription states; inspect relevant checkout sessions without customer identifiers; aggregate canonical and secondary production data stores without selecting health text email or user identifiers","A subscription product presented for purchase has a reconciled paying-user denominator activation event recurring-value event and mature cohort windows before any long-term-retention claim or rollout inference","All four active Revora recurring prices have zero subscriptions. Three Revora checkout sessions exist but all are expired and unpaid. The canonical data store has two user rows but zero profiles checks feedback memories journeys weekly artifacts push subscriptions subscription rows billing events or Pantry orders; the secondary store has zero rows across these product/cohort tables. The two users and four support cases were not classified as real or synthetic because content and identifiers were intentionally not accessed","Revora has implemented protocols and event-capable features but has not acquired or instrumentally reconciled a paid activated cohort; both retention protocols remain unexecuted and contain blank pre-registration fields","There is no empirical basis for D30 D90 D180 or D365 paid retention or for enabling retention features; product investment and launch claims would be made against an untested commercial hypothesis","Keep retention claims unproven and retention flags off; correct the concierge and paid-cohort pre-registration before collecting results; reconcile app events to settled non-refunded charges and include churned users","Privacy-safe fixture proving payment-to-activation denominator reconciliation and frozen cohort-window calculations before the first real paid observation","Read-only live evidence supports a maximum measured paid-retention duration of zero days; no customer content was read and no charge subscription flag or production row was created",OPEN,Founder product analytics and billing operations
AUD-029,P1 MAJOR,Release-corpus dangerous false reassurance,local deterministic eval evidence,"Select every tests/fixtures/revora-eval-cases.json row with harmfulIfSafe=true and knownGap=true and run it through checkFood using its recorded model output","The release corpus has zero dangerous false reassurance; every harmfulIfSafe case is a hard failure rather than an accepted exception","Two fixture rows are deliberately excluded from both hard gates and reproduce as SAFE: bbq sauce slathered on ribs and leftover curry. The eval stdout labels them known gaps while npm run eval:revora exits 0","The precheck/floor ontology does not recognize these sugar/under-description patterns and the test code explicitly skips knownGap rows in the harmful-SAFE and adversarial-under-description assertions","A real model SAFE response for an acknowledged uncertain or sugar-heavy description reaches the user as Clear despite the release requirement and can create false confidence; a green eval conceals the gate breach unless its verbose table is read","Do not exempt harmful-SAFE rows from the hard gate; route the two inputs to one clarification or a conservative non-SAFE result and keep the corpus immutable","The two existing fixtures must fail the release command whenever the returned risk is SAFE; add a guard that harmfulIfSafe and knownGap cannot coexist in a release corpus","Exact production-source checkFood returned SAFE for both rows with their recorded model outputs; the broader eval still passed; no fix authorized",OPEN,Meal engine and release engineering
AUD-030,P1 MAJOR,Pediatric intended-use routing,local deterministic function evidence,"Run checkFood for synthetic inputs that explicitly identify an 8- or 10-year-old with an in-range A1C and provide a scripted result-capable model","Revora is adults-only and pediatric context routes out of scope before any model call or meal verdict","meal for my 10-year-old child: grilled chicken and rice returned a MODERATE adult meal result; my 8 year old has oatmeal returned a composition clarification rather than a pediatric scope response","The clinical router has no pediatric/age class and the model output schema has no out-of-scope result kind; the adult intended-use statement exists only in copy/prompt context rather than deterministic enforcement","A child-specific meal request can receive adult prediabetes-range guidance and be persisted as an ordinary check despite being outside the declared intended population","Add deterministic pediatric context routing before A1C/food/model work and ensure no verdict or persistence; keep neutral adult-only scope copy","Age-child/minor/kid/son/daughter and obfuscated age corpus with zero model calls and no result schema","Exact production-source checkFood reproduced a meal result/ordinary clarification with a synthetic scripted model; no live provider call and no fix authorized",OPEN,Product safety and meal engine
AUD-031,P1 MAJOR,Forbidden personal-safety and outcome-prediction enforcement,local deterministic contract evidence,"Call the production assertNoForbiddenClaims gate with paraphrases: This will bring your levels down; This will lower your levels; This will keep your blood sugar stable; This is safe for you; This will not spike you","The runtime output gate rejects every personal-safety or individual-outcome prediction regardless of whether it names A1C glucose GI GL or mg/dL","All five paraphrases passed the output gate unchanged. They would therefore reach postprocessing when present in an otherwise schema-valid model result; the prompt asks the model not to say them but no authorized live corpus proves compliance","The safety contract uses fixed regexes anchored to a small set of explicit medical nouns and exact formulations; it does not encode semantic/personal-safety claim classes","A stochastic model can ship the precise forbidden confidence/prediction Revora says it structurally prevents; users may treat a general meal label as assurance about their individual response","Expand fail-closed output enforcement to personal-safety and indirect outcome language and add semantic or tightly governed phrase-class coverage without weakening existing controls","Adversarial paraphrase corpus across reason/adjustment/swap/question/examples plus live-provider capture gate; every phrase here must produce a retry/no verdict","Exact current gate returned blocked=false for all five synthetic phrases; no model call and no fix authorized",OPEN,Product safety and model enforcement
