iteration	category	target	delta	guard	status	description
23	test	I-05 immutable isolated browser release gate	3	pass	fixed_local	Playwright builds separate legacy/trial optimized outputs, starts immutable next servers with one worker and zero retries, provisions an owner-only synthetic mailbox, blanks every ambient provider credential, and refuses non-loopback databases; 23 focused harness/proxy units pass
24	test	I-04 authenticated auth and support journeys	2	pass	fixed_local	magic-link submission stays on the Revora check-email route; three browser projects prove link consumption, session, explicit consent, profile, support case, PII-minimized queue notice, exact user export, and form recovery without contacting Resend or Upstash
25	verification	I-05 complete local release gate	0	pass	verified_local	final SHA f8fa488c6da1ecf956082924394aba2e287903d1 builds 89 routes; standalone typecheck, zero-warning cold lint, safety contract, and Drizzle check pass; Vitest has 176 files passed, 1 skipped, 1968 tests passed, 2 skipped; Playwright has 225 passed, 12 provider-gated Pantry skips, 0 failed/flaky/retried across Mobile Chrome, Mobile Safari, and Desktop Chrome
26	security	I-21 full-range pull-request secret scanning	1	pass	fixed_branch	pull-request CI resolves the real PR head instead of GitHub's synthetic merge checkout; run 30003920371 scanned all 47 non-merge commits from merge base to exact head and found no leaks
27	security	I-21 vulnerable dependency closure	4	pass	fixed_branch	Next.js and eslint-config-next are 16.2.11, every Sharp edge resolves to 0.35.0, fast-uri resolves to 3.1.4, and the affected nested esbuild edge is 0.25.12; npm audit and CI npm ci report zero vulnerabilities
28	observability	I-10 exact release binding	1	pass	fixed_branch	server and browser Sentry releases resolve to the Vercel Git SHA; focused release tests and a synthetic build pass; exact-preview event REVORA_1-9 stored release 6215b14b0ddc1ddb34733011756dd06b4e93e322 and environment preview
29	privacy	I-10 Sentry IP and geo suppression	1	pass	verified_preview	project IP scrubbing is enabled; provider experiments proved delete-user still retained geo, while the explicit non-routable sentinel produced null IP and geo; source and browser scrub tests pass; exact-preview browser event also has no request or breadcrumbs
30	verification	I-05 exact code GitHub release gate	0	pass	verified_branch	GitHub run 30003920371 on 6215b14b0ddc1ddb34733011756dd06b4e93e322 passed static/build, 177 files and 1974 tests, 225 Playwright cases with 12 explicit provider-gated skips, and the complete secret scan; the run is green but not protected by enforceable review/branch rules
31	hardening	I-03 private Blob operator contract	1	pass	fixed_branch	.env.example and human-actions-required now require PANTRY_BLOB_READ_WRITE_TOKEN from a dedicated private store and reject the legacy public-store binding; 14 focused documentation/storage tests and scoped lint pass; live private-store provisioning remains open
30	review	independent adversarial review of full branch range	4	pass	completed	four parallel reviewers falsified all remediation claims; 11/11 retry axes, isolation, CI security, Sentry privacy, Stripe inbox, Resend state, DB governance, model routing verified with file:line evidence
31	bug	Stripe webhook fail-open on empty STRIPE_WEBHOOK_SECRET	1	pass	fixed	503 fail-closed guard plus billing_webhook_unconfigured readiness gate; regression test proves empty-key HMAC never runs
32	bug	governance checker OR-semantics on runtimeDmlReady	1	pass	fixed	per-privilege AND probes; re-proven all-true against live production database
33	bug	nudge heartbeat/route treated pending and exhausted as failure	1	pass	fixed	heartbeat is unconditional liveness like the other four crons; only true failures redden the hourly run
34	bug	lease-blind attempt clears in profile-PATCH and push-subscribe	1	pass	fixed	both routes honor the cron lease predicate; live-lease regression tests added
35	bug	signin page swallowed failed magic-link sends	1	pass	fixed	error-URL result detected; user sees retry message instead of false check-your-email
36	bug	account-delete retry wedged on Stripe double-cancel	1	pass	fixed	already-canceled confirmed by subscription read counts as success; others still fail closed
37	hardening	Sentry threads frame vars scrub plus secret-scan shell strictness	2	pass	fixed	threads container scrubbed; set -euo pipefail prevents silent empty-range scan
38	capability	E2E_PANTRY_LIVE opt-in for provider-gated Pantry cases	1	pass	fixed	private Blob token and model key pass through only on exact opt-in; default isolation regression-tested
39	provision	private Pantry Blob store revora-pantry-private	1	pass	verified_provider	private store created; anonymous 403 on direct and download URLs; authorized head and delete proven; PANTRY_BLOB_READ_WRITE_TOKEN bound prod/preview/dev
40	provision	production model routing resolved to direct OpenAI	1	pass	verified_provider	OPENAI_BASE_URL and model overrides removed from production; live-verified sk-proj key bound; defaults are the audited gpt-5.4-mini
41	database	backup, isolated restore, role split, migrations 0016-0017	1	pass	verified_provider	checksummed pg_dump; restore drill row-for-row in 1.1s; revora_app DML-proven and DDL-denied live; 18/18 journal hashes match source; restricted DATABASE_URL bound to production
42	provision	isolated preview stack	1	pass	verified_provider	dedicated preview Postgres (migrated), test-mode Stripe key and price mirror, fresh AUTH/HEALTH/CRON/VAPID secrets, preview Resend and Stripe webhooks with bound signing secrets; Upstash intentionally unbound (fail-closed) pending owner billing
43	drill	Upstash outage fail-closed and recovery	1	pass	verified_local	email doors 503+Retry-After during store outage while non-email doors fail open; same door passes on recovery; synthetic TEST-NET identities only
44	release	PR35 merged and production deployed on exact SHA	1	pass	verified_production	merged 795d1a374f0acb052c2bed01e1d74781527472e8; main CI run 30020772770 green; alias revora.plus -> dpl_HhRjmXewo6rFTXgJfAz2K91tadoS same SHA; liveness 200 no-store; security.txt 200 canonical
45	bug	runtime DATABASE_URL lacked sslmode=no-verify so pg rejected Railway self-signed TLS	1	pass	verified_production	first restricted-role deploy reported database_unavailable; rebound prod and preview DATABASE_URL with sslmode=no-verify; prod db ok with expected cron_stale-only degradation; preview db ok
46	provision	Railway strict scheduler applied	1	pass	verified_provider	fresh plan 0add/4change/0destroy matched approved shape; applied 11:36 EDT; observation window 12:00-15:00 pending
47	journey	production model routing three varied structured calls	1	pass	verified_workstation	repo client path with base URL unset and default gpt-5.4-mini via direct OpenAI; SAFE/MODERATE/SAFE strict-schema results; local key (bound prod key is write-only, live-verified in session 1); health shows no model_configuration issue
48	journey	production auth email delivered-bounced-suppressed chain	1	pass	verified_production	magic link to delivered@resend.dev -> Resend accept -> signed webhook -> delivered row with provider msg id; bounced@resend.dev -> bounced row + suppression; repeat send -> suppressed row and signin error surfaced; replay/expiry legs owner-assisted
49	journey	production Sentry browser canary and Umami transport	1	pass	verified_production	REVORA_PROD_CANARY_20260723T114550 accepted by ingest 200; client release=795d1a3 env=production; umami script.js 200 and /api/send through CSP zero violations; dashboard receipt and alert ack owner-assisted (no Sentry/Umami API access)
50	bug	stripe lifecycle harness waited on readiness which now 503s on fresh DB	1	pass	fixed	waitFor moved to /api/health/live liveness probe; readiness deliberately degrades until first scheduler run
51	journey	Stripe controlled lifecycle E2E-06 all steps passed	1	pass	verified_provider	checkout 4242 -> signed webhook (500-then-200 retry) -> trialing row -> session -> premium entitlement -> pre-charge email idempotent -> confirm-POST cancel flips cancel_at_period_end -> entitled until period end -> portal -> deletion lapse; harness fixes: liveness probe, confirm-POST step, reload-on-stall, Upstash isolation blank
